price,discount,ad_spend,targeting,creative,page_quality,region,sales
3500,0,3406,low,offer,4,high,846
2000,10,12206,high,urgency,1,low,1673
2500,0,7431,medium,urgency,4,high,1648
2500,15,24627,medium,normal,2,low,900
2000,0,9542,medium,normal,2,high,1355
3000,0,11906,low,urgency,5,high,1182
2500,15,7146,medium,normal,4,high,1393
2500,5,15046,medium,offer,5,high,1653
2500,5,15611,medium,normal,3,high,1238
2000,15,16076,medium,offer,2,high,1724
3500,10,19524,high,offer,5,low,1148
2500,0,7882,high,offer,3,high,1699
3500,15,17113,medium,offer,5,low,922
3000,0,16645,medium,offer,4,high,1210
2500,10,9012,medium,normal,4,high,1395
2500,0,20347,low,offer,4,low,886
3000,15,10151,medium,normal,4,low,877
2500,0,6610,low,offer,1,low,686
3500,5,12884,medium,urgency,3,high,1140
2000,10,9894,medium,offer,3,high,1860
3500,10,16467,low,urgency,4,high,1030
2000,10,19489,high,offer,1,high,1963
2000,15,24923,high,offer,4,high,2514
3500,10,12873,high,offer,1,low,845
3500,5,15289,medium,urgency,4,low,937
3500,15,15208,high,urgency,2,high,1384
3500,5,13828,low,offer,2,high,751
3000,0,5137,high,normal,5,low,1056
2500,0,23829,low,offer,4,low,873
2000,0,22914,high,urgency,3,low,1795
3500,0,4286,low,offer,5,high,892
3500,5,18710,high,urgency,2,low,995
3500,15,14371,high,urgency,4,high,1626
3000,15,18945,low,urgency,5,high,1301
3500,10,10052,medium,offer,4,low,856
3500,5,6654,high,urgency,2,high,1326
3500,0,21743,medium,urgency,5,high,1267
2500,5,18600,high,offer,2,high,1648
3000,10,11636,medium,urgency,1,high,1185
3500,10,9441,medium,offer,2,high,987
2000,5,24431,low,urgency,4,high,1735
2000,5,24587,low,normal,3,high,1232
2000,5,12667,high,normal,2,low,1343
3000,15,15149,medium,urgency,3,low,1054
3000,0,4798,medium,normal,1,low,614
2000,5,12600,medium,offer,5,low,1538
3500,5,24675,medium,normal,5,low,765
3000,5,8495,high,urgency,3,low,1254
2000,10,12900,high,urgency,5,high,3046
2000,10,16673,medium,offer,2,high,1727
3500,15,14130,high,urgency,3,high,1503
2500,0,18222,high,offer,4,high,1823
3000,15,4300,medium,normal,2,high,997
3500,0,12435,high,normal,2,high,970
2000,10,22481,low,offer,2,high,1374
2000,10,7616,low,offer,4,low,1186
3500,10,19393,high,urgency,1,high,1282
3000,15,13617,medium,normal,5,high,1247
2500,5,8752,high,offer,3,high,1779
2500,5,12852,high,normal,1,low,983
2000,10,9295,low,offer,3,low,1118
3000,5,24199,high,normal,5,high,1486
2500,5,20456,medium,urgency,4,high,1728
3000,15,6225,medium,normal,2,low,739
3000,0,4316,medium,normal,2,low,673
2000,10,15337,high,normal,4,high,2177
2500,10,9807,low,normal,1,high,881
3500,15,6683,medium,normal,1,low,591
2000,15,10227,medium,urgency,3,high,2103
2500,5,6273,high,offer,4,low,1424
2500,10,3145,medium,normal,1,low,823
2500,0,8010,low,urgency,4,high,1318
2500,15,19035,low,normal,5,low,895
2500,0,6040,medium,normal,2,high,1093
3000,0,12654,high,offer,2,high,1304
2000,10,19866,low,normal,2,high,1192
3000,10,22563,low,urgency,4,low,902
3500,15,20633,high,urgency,4,low,1214
2500,10,20014,low,offer,3,low,890
2000,10,17996,high,normal,2,high,1870
2500,10,19336,medium,urgency,3,high,1691
2000,0,11853,high,normal,2,high,1694
3000,15,14695,low,normal,3,high,865
2000,5,5852,low,normal,3,high,1242
3500,0,19014,high,offer,5,high,1396
3500,10,3987,high,normal,3,low,872
2000,0,10622,high,urgency,4,low,1933
2000,10,12160,low,normal,3,high,1298
2000,10,20484,high,urgency,2,low,1826
2000,0,9652,high,normal,3,low,1379
3500,15,10421,medium,urgency,1,high,1029
2500,10,24400,high,urgency,2,high,1948
2000,15,3769,high,normal,1,low,1292
2000,5,20727,medium,normal,2,high,1434
3500,10,17114,low,urgency,4,high,1039
3500,15,7358,medium,offer,4,high,1154
3000,15,14543,low,normal,4,low,699
2000,5,21733,medium,offer,1,low,1126
3000,15,8699,medium,normal,5,high,1247
3500,15,20625,low,normal,2,high,679
3500,5,4125,medium,normal,4,high,942
2500,10,13793,low,normal,2,high,953
2000,15,9764,high,offer,1,low,1479
3000,15,24485,high,normal,5,low,1174
3500,15,15323,low,urgency,1,high,811
3500,0,16031,high,urgency,2,low,952
3000,5,17052,medium,offer,5,low,1020
2500,0,15640,low,normal,5,high,1084
3500,5,10843,low,urgency,1,low,591
2000,10,17210,medium,offer,4,low,1506
3500,10,19456,high,normal,2,high,1068
2000,15,24856,high,urgency,3,low,1977
3000,5,13106,low,urgency,3,low,798
2000,10,8189,low,offer,1,high,1260
3000,5,5472,medium,normal,2,high,952
2000,10,20091,low,normal,2,low,904
3000,0,21188,low,urgency,1,high,856
2000,10,9704,low,urgency,2,low,1176
2500,0,6713,high,urgency,4,high,2063
2000,10,8051,high,normal,1,high,1709
2000,15,13756,medium,offer,4,high,2001
2500,0,5475,high,offer,2,high,1566
3500,10,6610,medium,normal,1,low,581
3500,15,7255,medium,offer,2,low,734
2000,0,17484,low,urgency,1,high,1296
2500,15,4735,medium,offer,2,low,1038
2000,5,11258,high,offer,4,low,1802
3000,5,10979,medium,offer,4,high,1274
3000,0,5428,medium,urgency,2,high,1178
2000,10,15345,medium,normal,1,high,1364
3500,0,10426,low,urgency,3,low,646
3500,15,11533,high,normal,4,high,1241
2000,10,8249,medium,normal,4,low,1315
2000,5,24675,medium,normal,3,low,1164
3000,10,22201,medium,offer,2,high,1149
3500,5,23258,medium,offer,1,low,638
2000,10,12686,low,normal,2,low,894
3000,10,17109,medium,normal,5,high,1243
3500,10,23595,low,offer,4,low,687
2500,15,3661,high,urgency,5,low,1823
3000,15,15075,high,normal,4,low,1086
3500,0,17788,high,urgency,4,high,1475
3500,0,13060,medium,offer,5,high,1118
3000,5,18836,medium,normal,5,high,1187
2500,15,13526,low,urgency,2,high,1246
3000,5,6374,high,urgency,5,high,1940
3500,0,3207,low,urgency,2,high,815
2000,5,5665,medium,offer,2,low,1234
2000,0,21877,low,offer,2,low,941
3000,15,3632,low,urgency,4,high,1209
3500,10,6083,medium,urgency,4,low,978
2000,15,16711,low,offer,5,high,1716
3500,5,13123,high,urgency,4,high,1552
3000,5,23103,medium,urgency,5,high,1546
2000,15,10123,low,offer,4,high,1614
3500,15,13754,medium,urgency,1,high,1022
2000,0,4679,low,urgency,1,low,972
3000,5,18901,low,urgency,5,high,1237
3500,5,3236,high,offer,4,high,1371
2000,15,10446,low,urgency,4,high,1818
3000,10,7443,high,offer,2,low,1073
2000,5,18463,low,offer,3,low,1068
2000,10,11555,low,normal,5,low,1127
2500,15,21752,high,normal,3,high,1614
2500,15,19669,medium,urgency,3,high,1690
3000,0,3148,low,offer,5,low,785
2500,5,16395,medium,normal,4,high,1339
3000,10,23421,low,urgency,5,low,969
2500,0,7895,high,normal,3,high,1474
2000,5,24664,medium,normal,4,high,1668
3000,0,20396,high,offer,1,low,900
3000,15,14023,high,offer,5,high,1795
2000,5,13699,medium,normal,5,high,1779
3000,0,12715,high,normal,4,high,1324
3000,0,22169,medium,offer,1,high,966
2500,10,23109,high,urgency,1,high,1786
3000,0,19163,low,offer,4,low,738
3500,5,23960,medium,normal,2,high,821
2000,5,8782,medium,urgency,5,high,2328
2500,10,21792,medium,normal,5,high,1498
2500,5,19724,medium,urgency,3,low,1209
3500,15,5817,high,normal,4,low,936
2000,5,18096,low,urgency,3,low,1207
2000,5,21880,low,urgency,3,low,1211
2500,0,8299,high,normal,1,low,932
3000,0,12917,medium,urgency,5,high,1483
2500,5,21073,high,offer,3,low,1330
2000,10,6267,high,normal,1,low,1290
3500,0,7406,high,offer,4,high,1310
2500,10,20826,high,normal,3,low,1215
2000,5,13382,low,urgency,5,low,1387
2500,5,7437,low,urgency,3,low,971
3000,15,8435,high,urgency,4,low,1419
2500,0,7107,medium,normal,3,high,1183
2500,5,3560,low,offer,5,low,985
2000,15,15329,medium,offer,1,high,1586
2000,0,24932,high,normal,5,high,2115
2000,5,4826,medium,normal,1,high,1311
2500,5,14421,medium,offer,2,high,1321
3000,0,15265,medium,offer,5,high,1304
3500,0,10629,low,offer,5,high,895
3500,0,11325,medium,offer,4,low,780
2000,5,22522,medium,normal,3,low,1161
2000,5,10693,low,normal,1,high,1039
2500,15,11264,high,urgency,1,low,1334
3500,10,15686,medium,offer,4,low,856
2000,0,16716,high,urgency,4,high,2583
3000,5,9721,high,normal,3,high,1287
3000,5,23609,low,normal,3,low,616
2000,0,22362,medium,urgency,5,high,2209
2000,10,10373,medium,offer,2,low,1287
3500,0,8907,high,offer,3,high,1212
3500,10,19127,low,offer,4,low,690
2500,5,8656,medium,offer,3,low,1072
3500,10,11984,medium,urgency,1,high,1022
3000,15,23643,low,urgency,2,high,1040
3000,5,11286,low,normal,5,high,950
2000,15,8901,medium,offer,1,high,1575
3500,0,7917,high,offer,1,low,764
2500,0,11429,medium,offer,2,high,1247
3000,0,17716,medium,urgency,5,low,1106
3000,10,18795,medium,offer,4,low,1000
2500,5,14138,high,urgency,5,low,1748
2500,0,5530,low,offer,3,high,1084
3000,0,21344,high,offer,1,high,1202
3000,5,20432,low,normal,3,high,828
2500,0,8772,medium,offer,4,high,1456
3000,15,18476,low,offer,3,low,745
2000,5,21913,low,normal,5,high,1420
2000,5,18751,medium,urgency,3,high,2013
2500,5,5964,low,urgency,4,low,1036
3500,15,10137,high,offer,4,high,1428
2500,5,20347,low,urgency,4,low,1047
2500,15,19920,medium,offer,5,high,1726
3500,5,16891,medium,normal,4,high,957
3500,10,10340,low,normal,1,high,631
3500,0,10967,low,offer,4,low,619
2000,10,15415,medium,normal,3,low,1214
3000,0,14871,medium,normal,3,low,735
2000,15,14916,medium,offer,3,low,1390
3000,10,11734,medium,offer,5,low,1073
2000,5,3845,medium,normal,3,high,1545
3000,0,22420,low,urgency,5,high,1179
2000,0,5494,medium,urgency,5,high,2223
3500,10,15677,high,offer,4,high,1434
2500,15,22103,medium,offer,1,low,947
2000,10,21268,medium,urgency,4,high,2269
3000,15,15330,medium,normal,4,low,876
3500,15,23733,high,urgency,5,high,1732
2000,0,8179,high,urgency,5,high,2773
2000,10,9610,medium,urgency,3,high,2107
3500,10,9430,high,urgency,3,low,1127
2000,15,10154,low,offer,4,high,1611
2500,10,16828,low,offer,2,high,1097
2000,5,13145,high,normal,2,low,1343
2500,5,9488,high,normal,3,high,1554
2500,10,24121,low,normal,2,high,956
3500,10,6850,low,normal,3,high,751
2000,15,20073,low,urgency,5,low,1462
3500,5,16564,low,offer,4,low,660
2000,5,24559,high,offer,1,low,1418
2000,0,8078,medium,normal,4,low,1198
3000,15,15168,medium,normal,3,low,812
2000,0,8448,medium,urgency,3,low,1441
3500,5,20563,low,urgency,4,high,997
2500,15,12074,low,normal,3,high,1032
2000,10,9406,medium,offer,2,low,1282
3000,15,11800,high,offer,2,low,1075
3500,10,17083,high,offer,3,high,1323
2000,10,4638,low,normal,3,low,971
3500,15,13340,high,offer,2,high,1231
3000,10,4382,high,urgency,3,high,1755
3000,0,4403,high,urgency,3,high,1596
3500,5,12011,medium,normal,4,high,947
2000,10,6292,medium,urgency,1,high,1787
2500,0,12011,medium,normal,2,high,1083
3000,10,3419,low,offer,4,low,792
2000,5,15411,low,offer,1,high,1203
2000,0,7517,low,offer,3,high,1360
2500,5,22686,medium,urgency,3,low,1207
3000,5,18422,high,normal,4,low,1036
3000,0,12700,medium,offer,3,low,848
2000,0,8693,low,normal,5,high,1362
2000,0,3767,high,offer,4,low,1712
2500,15,21428,high,urgency,1,low,1336
2500,0,17818,high,urgency,4,low,1550
3000,0,4549,high,normal,2,high,1125
3500,0,12956,medium,urgency,4,low,880
3000,0,9140,high,urgency,3,high,1590
2000,10,13837,low,normal,3,high,1304
3000,15,6716,medium,offer,5,high,1438
3500,5,7481,low,urgency,5,high,1062
2500,0,9548,low,normal,5,low,809
3500,10,21677,low,urgency,1,low,615
3500,10,7837,medium,urgency,5,high,1396
3500,10,10758,high,urgency,1,low,958
2500,5,13900,medium,urgency,5,low,1392
3500,0,10993,low,normal,1,high,573
3500,15,8542,high,normal,4,low,936
3500,15,17828,medium,normal,4,high,1002
2000,10,19052,medium,urgency,3,low,1585
3500,5,5385,medium,urgency,1,high,971
2500,5,17308,low,urgency,2,high,1185
3500,5,23652,medium,normal,3,high,882
3500,15,3671,high,urgency,4,low,1218
2500,10,3163,low,offer,1,high,1008
3500,0,11656,medium,urgency,5,high,1259
2500,15,14234,high,offer,2,high,1721
3500,10,23976,high,urgency,4,low,1221
2500,10,7795,low,normal,3,high,1038
3500,0,13634,low,urgency,1,high,739
3500,0,7798,low,offer,2,high,716
2000,0,21739,medium,offer,1,high,1434
2000,5,13749,medium,urgency,5,low,1731
3500,0,8827,low,offer,3,high,778
3500,10,7719,high,offer,1,high,1129
3000,0,3593,medium,normal,4,high,1058
